CityName,Lat,Lon,StateName,StateCode,County,Density,Population
Ryderwood,46.3749,-123.0441,Washington,WA,Cowlitz,332.9,0
Manchester,47.5519,-122.5517,Washington,WA,Kitsap,870.2,0
Vashon Heights,47.5057,-122.4654,Washington,WA,King,492.3,0
Salmon Creek,45.7099,-122.6632,Washington,WA,Clark,406.7,0
Vantage,46.9453,-119.9923,Washington,WA,Kittitas,116,0
Creston,47.7596,-118.5201,Washington,WA,Lincoln,212,226
Soap Lake,47.3914,-119.4892,Washington,WA,Grant,403,1579
Silver Firs,47.8635,-122.1497,Washington,WA,Snohomish,2275.3,0
Plaza,47.3202,-117.3838,Washington,WA,Spokane,23.5,0
Machias,47.9917,-122.0515,Washington,WA,Snohomish,258.3,0
Neah Bay,48.3612,-124.6115,Washington,WA,Clallam,1589.2,0
Malo,48.7998,-118.6119,Washington,WA,Ferry,27.2,0
Clyde Hill,47.6303,-122.218,Washington,WA,King,1213,3318
Marlin,47.4074,-118.985,Washington,WA,Grant,23.8,0
North Yelm,46.9647,-122.6028,Washington,WA,Thurston,190.9,0
Grand Coulee,47.9391,-119.0031,Washington,WA,Grant,330,1042
Outlook,46.3311,-120.0923,Washington,WA,Yakima,169.6,0
Clinton,47.9731,-122.3577,Washington,WA,Island,487.7,0
Evans,48.7135,-118.0253,Washington,WA,Stevens,20.2,0
Browns Point,47.3036,-122.4369,Washington,WA,Pierce,1179.1,0
Kennewick,46.1979,-119.1732,Washington,WA,Benton,1147,232915
North Marysville,48.1112,-122.1459,Washington,WA,Snohomish,77.3,0
Beaver Valley,47.9259,-122.7302,Washington,WA,Jefferson,34.3,0
Ahtanum,46.5581,-120.6099,Washington,WA,Yakima,323.4,0
Carbonado,47.0805,-122.0536,Washington,WA,Pierce,649,701
Hyak,47.3929,-121.3929,Washington,WA,Kittitas,69.4,0
Arlington Heights,48.2119,-122.0631,Washington,WA,Snohomish,226.1,0
North Sultan,47.8827,-121.8251,Washington,WA,Snohomish,306.2,0
Pullman,46.7342,-117.1661,Washington,WA,Whitman,1229,33276
Wymer,46.826,-120.4598,Washington,WA,Kittitas,0,0
Adelaide,47.3309,-122.3604,Washington,WA,King,1388.4,0
Peaceful Valley,48.9477,-122.1406,Washington,WA,Whatcom,762.6,0
West Richland,46.3115,-119.3997,Washington,WA,Benton,254,14596
Fife Heights,47.2593,-122.3457,Washington,WA,Pierce,523.6,0
Manson,47.8858,-120.1563,Washington,WA,Chelan,683.5,0
Sprague,47.3048,-117.9713,Washington,WA,Lincoln,163,441
Cosmopolis,46.9541,-123.7725,Washington,WA,Grays Harbor,452,1624
Redondo,47.3484,-122.3235,Washington,WA,King,1190.8,0
Waller,47.2035,-122.3699,Washington,WA,Pierce,818.3,0
Addy,48.3588,-117.8372,Washington,WA,Stevens,279.3,0
Matlock,47.2379,-123.4079,Washington,WA,Mason,1.4,0
Longbranch,47.2257,-122.7739,Washington,WA,Pierce,97.4,0
North Bonneville,45.6425,-121.9689,Washington,WA,Skamania,154,999
Pomeroy,46.4737,-117.5967,Washington,WA,Garfield,303,1388
Colville,48.5454,-117.8986,Washington,WA,Stevens,596,5064
Palmer,47.3143,-121.8923,Washington,WA,King,36.7,0
Skyway,47.4915,-122.2543,Washington,WA,King,2440.5,0
Medina,47.6256,-122.2338,Washington,WA,King,879,3267
Algona,47.282,-122.2503,Washington,WA,King,933,3185
Nine Mile Falls,47.7757,-117.5461,Washington,WA,Spokane,53.5,0
Black Diamond,47.313,-122.0181,Washington,WA,King,262,4436
Gold Bar,47.8566,-121.6927,Washington,WA,Snohomish,824,2301
Mesa,46.5737,-119.0013,Washington,WA,Franklin,119,503
Cavalero Corner,47.9782,-122.1349,Washington,WA,Snohomish,149.6,0
Lilliwaup,47.4634,-123.1143,Washington,WA,Mason,34.3,0
La Conner,48.3927,-122.4945,Washington,WA,Skagit,915,3475
Sheridan Beach,47.7448,-122.2882,Washington,WA,King,2013,0
Emden,47.1046,-118.1227,Washington,WA,Adams,0,0
Markham,46.9155,-123.9814,Washington,WA,Grays Harbor,47.4,0
Eltopia,46.4587,-119.0172,Washington,WA,Franklin,79.4,0
Stevenson,45.6943,-121.8932,Washington,WA,Skamania,364,1555
Greenwater,47.1465,-121.632,Washington,WA,Pierce,55.3,0
Copalis Beach,47.1205,-124.1722,Washington,WA,Grays Harbor,111.7,0
Roosevelt,47.8923,-122.0123,Washington,WA,Snohomish,106.3,0
La Crosse,46.8014,-117.9026,Washington,WA,Whitman,146,324
Summit,47.1694,-122.3628,Washington,WA,Pierce,647.3,0
Ohop,46.9457,-122.1907,Washington,WA,Pierce,2.7,0
Malden,47.2296,-117.4731,Washington,WA,Whitman,122,209
Beverly,46.8368,-119.9331,Washington,WA,Grant,205.8,0
Prosser,46.2066,-119.7662,Washington,WA,Benton,528,6264
Lake Roesiger,47.9839,-121.9129,Washington,WA,Snohomish,11.9,0
