Name, Longitude, Latitude
Yabboo Well,116.85,-26.68333
Yabboo Hill,122.56667,-29.81667
Yabberup,116,-33.53333
Yabba Well,114.93333,-24.66667
Yabbagoody Claypan,123.71667,-17.33333
Yaaringiree,138.98333,-35.48333
Yaalup Lagoon,118.58333,-33.75
Xmas Well,135.23333,-26.28333
Xmas Creek,136.71667,-18.85
Xantippe,117.03333,-30.03333
Wyworrie,116.2892,-29.67458
Wyranie,139.4,-32.38333
Wyralinu,122.78333,-32.05
Wyooda Thangoo,119.43333,-27.41667
Wyonning Creek,117.18333,-32.73333
Wyonga River,136.28333,-13.16667
Wyola Lake,130.33456,-29.13066
Wyola,117.36667,-31.63333
Wyockman Creek,129.3,-17.16667
Wynyangoo,118.18333,-27.93333
Mount Wynne,124.4605,-18.09888
Wyngraming Waterhole,129.61667,-17.9
Wyndidda Spring,122.85,-26.5
Wyndidda Creek,122.96667,-26.45
Wyndham Well,121.38333,-19.48333
Wyndham River,115.46667,-25.08333
Wyndham Range,123.9,-16.66667
Wyndham,128.12428,-15.4869
Wynbring Station,133.53333,-30.55
Wynbring Rocks,133.53333,-30.55
Wynbarra Waterhole,131.33333,-15.4
Wynarka,139.73333,-35.13333
Lake Wynalkana,139.7774,-27.3962
Wymans Well,119.83333,-21.3
Wyloo Well,114.98333,-21.91667
Wylookarri Rockhole,129.86667,-23.81667
Wyloo,116.233,-22.69063
Wyllie Well,119.41667,-20.06667
Wylies Well,134.43333,-26.33333
Wyjarrahbee Well,122.06667,-19.78333
Wyening,116.48333,-31.18333
Wyemandoo,118.53333,-28.51667
Wyella Waterhole,133.38333,-16.61667
Wye Hill,132.26667,-14.9
Wydgee,117.81667,-28.85
Wycliffe Well,134.23333,-20.8
Wycliffe Creek,134.1,-20.73333
Wybron Island,123.33333,-16.46667
Wyatts Hill,137.98333,-26.73333
Wyambana,139.43333,-31.18333
Wyalta Waterhole,138.41667,-28.65
Wyalla Bay,133.36667,-11.63333
Wyalkatchem,117.3836,-31.18063
Wyaga Bore,138.9,-21.86667
Wyacca Hill,138.73333,-31.78333
W. W. Waterhole,133.25,-15.68333
Wurugoij Creek,133.9,-11.93333
Wurtheroo Creek,138.75,-28.4
Wurruling Waterhole,129.31667,-17.7
Wurrildee,138.63333,-35.53333
Wurrengoodyea Hills,126.36667,-32.2
Wurrah,117.35,-27.36667
Wurndoang,138.88333,-35.46667
Wurley Rumbo,139.11667,-28.88333
Wurley Point,136.55,-29.03333
Wurley Lagoon,134.4,-29.38333
Wurilba,138.11667,-33.38333
Wurembong Waterhole,132.35,-16.06667
Wurarga,116.28333,-28.41667
Wuraming,116.28333,-32.8
Wunungun Point,139.31667,-16.73333
Wuntuntoopininna Waterhole,136.3,-27.93333
Wuntanoorinna Waterhole,136.61667,-27.88333
Wundowie,116.3799,-31.76163
Wundirgi Waterhole,134.53333,-19.06667
Wundin Pool,119.88333,-20.6
Wudinna Hill,135.56667,-33
Wudinna East,135.61667,-33.01667
Wudinna,135.46381,-33.05013
Wubin,116.63333,-30.1
Wrights Reef Well,119.23333,-28.06667
Wrights Hut Dam,139.43333,-32.43333
Wright Island,138.60854,-35.58267
Wright Hill,139.55,-33.03333
